,final_match_id,final_qual,final_match,num_pdbs,PDB,ALPHAFOLD,ALPHAFOLD_MULTIMER,SWISS,ITASSER
Unmodelled_MONOMER_b3675,Unmodelled_MONOMER_b3675_&_full_match_0,72.92525,{'AF-P0ADL6-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b3676,Unmodelled_MONOMER_b3676_&_full_match_1,80.92356521739131,{'AF-P0ADM0-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b3677,Unmodelled_MONOMER_b3677_&_full_match_0,81.85791946308723,{'AF-P31446-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b3678,Unmodelled_MONOMER_b3678_&_full_match_1,94.24036217303822,{'AF-P31447-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
CPLX0-1021,CPLX0-1021_&_full_match_0,97.6,{'1mum-assembly1.cif_&_MATCH_1': 1},1.0,1.0,,,,
Unmodelled_MONOMER_b3072,Unmodelled_MONOMER_b3072_&_full_match_3,92.1712648221344,{'AF-P50466-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b0788,Unmodelled_MONOMER_b0788_&_full_match_1,84.94471698113206,{'AF-P75770-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b3070,Unmodelled_MONOMER_b3070_&_full_match_1,95.3,{'Q46871_13_254_4yhb_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b3071,Unmodelled_MONOMER_b3071_&_full_match_1,78.36980676328503,{'AF-P64588-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b4002,Unmodelled_MONOMER_b4002_&_full_match_1,73.05326241134752,{'AF-P0AAA9-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
NANT-MONOMER,NANT-MONOMER_&_full_match_1,88.04423387096773,{'AF-P41036-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b3078,Unmodelled_MONOMER_b3078_&_full_match_2,90.13320754716982,{'AF-P42590-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b3079,Unmodelled_MONOMER_b3079_&_full_match_1,87.38921348314605,{'AF-P42591-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b4554,Unmodelled_MONOMER_b4554_&_full_match_2,84.0,{'YIBT_ECOLI_model1_clean_residues_removed_&_NOBFS_0': 1},1.0,,,,,1.0
Unmodelled_MONOMER_b4555,Unmodelled_MONOMER_b4555_&_full_match_0,83.79030927835052,{'AF-Q2M7X4-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b0787,Unmodelled_MONOMER_b0787_&_full_match_0,82.77113924050634,{'AF-P75769-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
CPLX0-2441,CPLX0-2441_&_full_match_0,99.0,{'P0AG30_1_415_3ice_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b4486,Unmodelled_MONOMER_b4486_&_full_match_1,86.21082781456951,{'AF-P39393-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b4487,Unmodelled_MONOMER_b4487_&_full_match_1,77.12642201834862,{'AF-Q6BEX5-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
RlmN_mono,RlmN_mono_&_full_match_2,93.5,{'P36979_17_375_3rfa_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_TRIMER_b1869,Unmodelled_TRIMER_b1869_&_full_match_0,90.09999999999998,{'P64515_3_120_4jrz_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b4482,Unmodelled_MONOMER_b4482_&_full_match_1,90.4651968503937,{'AF-P27840-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
EG10043-MONOMER,EG10043-MONOMER_&_full_match_2,95.5,{'P22255_9_243_3b8b_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b4480,Unmodelled_MONOMER_b4480_&_full_match_0,89.83028673835126,{'AF-P0A8R9-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
CPLX0-7623,CPLX0-7623_&_full_match_0,86.99267045454546,{'CPLX0-7623_AlphaMulti': 1},1.0,,,1.0,,
CPLX0-3161,CPLX0-3161_&_full_match_1,99.7,{'P0AED7_1_374_5vo3_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b0497,Unmodelled_MONOMER_b0497_&_full_match_2,82.2718443197756,{'AF-P16919-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
PALMITOTRANS-MONOMER,PALMITOTRANS-MONOMER_&_full_match_1,96.15235294117649,{'AF-P0ACV2-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
E1P-CPLX,E1P-CPLX_&_full_match_0,93.7,{'P0AFG8_57_887_1l8a_&_NOBFS_0': 1},1.0,,,,1.0,
G6580-MONOMER,G6580-MONOMER_&_full_match_1,100.0,{'P0AEI6_1_153_4nfx_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b1816,Unmodelled_MONOMER_b1816_&_full_match_1,81.09011583011582,{'AF-P0AEC0-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b0491,Unmodelled_MONOMER_b0491_&_full_match_0,90.2580694980695,{'AF-P77307-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
CPLX0-3361,CPLX0-3361_&_full_match_0,91.7288667992048,{'7nz1-assembly1.cif_&_MATCH_0': 1},1.0,1.0,,,,
Unmodelled_MONOMER_b4133,Unmodelled_MONOMER_b4133_&_full_match_2,86.9476171875,{'AF-P23890-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b1813,Unmodelled_MONOMER_b1813_&_full_match_1,92.9,{'NUDL_ECOLI_model1_clean_residues_removed_&_NOBFS_0': 1},1.0,,,,,1.0
Unmodelled_MONOMER_b1810,Unmodelled_MONOMER_b1810_&_full_match_2,100.0,{'P64490_1_99_2jn8_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b0490,Unmodelled_MONOMER_b0490_&_full_match_2,92.4,{'P77279_7_214_3d31_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b4722,Unmodelled_MONOMER_b4722_&_full_match_0,69.55592592592593,{'AF-P0DPC6-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
G7146-MONOMER,G7146-MONOMER_&_full_match_0,93.1342616033755,{'AF-P76445-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
DHHB-METHYLTRANSFER-CPLX,DHHB-METHYLTRANSFER-CPLX_&_subset_match_0,93.3,{'P17993_16_239_4kdc_&_NOBFS_0': 2},2.0,,,,1.0,
Unmodelled_MONOMER_b3413,Unmodelled_MONOMER_b3413_&_full_match_1,90.2528193832599,{'AF-P46846-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b0492,Unmodelled_MONOMER_b0492_&_full_match_3,99.3,{'P77395_3_284_3qou_&_NOBFS_0': 1},1.0,,,,1.0,
LYSP-MONOMER,LYSP-MONOMER_&_full_match_1,87.13993865030676,{'AF-P25737-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b4313,Unmodelled_MONOMER_b4313_&_full_match_3,92.7,{'FIME_ECOLI_model1_clean_residues_removed_&_NOBFS_0': 1},1.0,,,,,1.0
PC00086,PC00086_&_full_match_0,85.48305755395684,{'PC00086_AlphaMulti': 1},1.0,,,1.0,,
CPLX0-7936,CPLX0-7936_&_full_match_0,99.0,{'3g1p-assembly1.cif_&_NOBFS_0': 1},1.0,1.0,,,,
CPLX0-7935,CPLX0-7935_&_full_match_0,98.14176470588235,{'7z19-assembly1.cif_&_MATCH_33': 1},1.0,1.0,,,,
CPLX0-7934,CPLX0-7934_&_full_match_0,78.94084000000002,{'CPLX0-7934_AlphaMulti': 1},1.0,,,1.0,,
CPLX0-7933,CPLX0-7933_&_full_match_0,100.0,{'Q46803_1_396_3q98_&_NOBFS_0': 1},1.0,,,,1.0,
CPLX0-7932,CPLX0-7932_&_full_match_1,99.1,{'P25524_5_427_1r9z_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b2419,Unmodelled_MONOMER_b2419_&_full_match_1,90.1083870967742,{'AF-Q47702-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
PABASYN-CPLX,PABASYN-CPLX_&_full_match_0,95.560234375,{'PABASYN-CPLX_AlphaMulti': 1},1.0,,,1.0,,
PPK-CPLX,PPK-CPLX_&_full_match_0,99.9,{'1xdp-assembly2.cif_&_NOBFS_0': 1},1.0,1.0,,,,
G7446-TETRAMER,G7446-TETRAMER_&_full_match_1,98.625,{'Q46915_6_445_4il0_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b2413,Unmodelled_MONOMER_b2413_&_full_match_0,89.54003952569168,{'AF-P0A6J3-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b2412,Unmodelled_MONOMER_b2412_&_full_match_2,74.90158536585365,{'AF-P77173-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
CPLX0-7939,CPLX0-7939_&_full_match_1,96.4813068181818,{'CPLX0-7939_AlphaMulti': 1},1.0,,,1.0,,
CPLX0-7938,CPLX0-7938_&_full_match_0,99.7,{'P08839_1_573_2l5h_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b3890,Unmodelled_MONOMER_b3890_&_full_match_1,78.36986111111109,{'AF-P0AFU6-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
IMIDHISTID-CPLX,IMIDHISTID-CPLX_&_full_match_2,92.32114084507045,{'IMIDHISTID-CPLX_AlphaMulti': 1},1.0,,,1.0,,
Unmodelled_MONOMER_b3896,Unmodelled_MONOMER_b3896_&_full_match_0,84.8977492877493,{'AF-P32151-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b3897,Unmodelled_MONOMER_b3897_&_full_match_1,87.63257731958763,{'AF-P32152-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
CPLX0-7691,CPLX0-7691_&_full_match_0,99.4,{'P33224_3_540_3djl_&_NOBFS_0': 1},1.0,,,,1.0,
wzzB_o_antigen_poly,wzzB_o_antigen_poly_&_full_match_0,94.5,{'6rbg-assembly1.cif_&_MATCH_1': 1},1.0,1.0,,,,
Unmodelled_MONOMER_b0479,Unmodelled_MONOMER_b0479_&_full_match_1,93.5,{'FSR_ECOLI_model1_clean_residues_removed_&_NOBFS_0': 1},1.0,,,,,1.0
Unmodelled_MONOMER_b0478,Unmodelled_MONOMER_b0478_&_full_match_1,90.7,{'YBAL_ECOLI_model1_clean_residues_removed_&_NOBFS_0': 1},1.0,,,,,1.0
ADENPRIBOSYLTRAN-CPLX,ADENPRIBOSYLTRAN-CPLX_&_full_match_1,99.5,{'P69503_2_183_5znq_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b3782,Unmodelled_MONOMER_b3782_&_full_match_1,66.61242424242424,{'AF-P0ADF3-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
RIB5PISOMB-CPLX,RIB5PISOMB-CPLX_&_full_match_1,98.35,{'P37351_1_147_2vvr_&_NOBFS_0': 1},1.0,,,,1.0,
ACYLCOASYN-CPLX,ACYLCOASYN-CPLX_&_full_match_2,95.9,{'P69451_14_551_2d1t_&_NOBFS_0': 1},1.0,,,,1.0,
CARNDEHYDRA-CPLX,CARNDEHYDRA-CPLX_&_full_match_0,98.8,{'P31572_4_403_1xa3_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b3259,Unmodelled_MONOMER_b3259_&_full_match_2,98.6,{'P0A8T1_4_292_3egv_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b2305,Unmodelled_MONOMER_b2305_&_full_match_1,87.72858108108106,{'AF-P77768-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b2304,Unmodelled_MONOMER_b2304_&_full_match_3,99.3,{'P77775_1_295_4b4o_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b3252,Unmodelled_MONOMER_b3252_&_full_match_1,85.88224458204334,{'AF-P13518-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b3521,Unmodelled_MONOMER_b3521_&_full_match_0,90.18384615384615,{'AF-P37641-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b3250,Unmodelled_MONOMER_b3250_&_full_match_2,78.45,{'AF-P16926-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b3251,Unmodelled_MONOMER_b3251_&_full_match_3,97.7,{'MREB_ECOLI_model1_clean_residues_removed_&_NOBFS_0': 1},1.0,,,,,1.0
Unmodelled_MONOMER_b3524,Unmodelled_MONOMER_b3524_&_full_match_0,85.83059766763847,{'AF-P37645-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b3257,Unmodelled_MONOMER_b3257_&_full_match_0,88.395875,{'AF-P45566-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b3527,Unmodelled_MONOMER_b3527_&_full_match_0,90.48823293172691,{'AF-P37648-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
AROG-CPLX,AROG-CPLX_&_full_match_0,99.7,{'P0AB91_2_350_1kfl_&_NOBFS_0': 1},1.0,,,,1.0,
Rph_mono,Rph_mono_&_full_match_0,96.9,{'P0CG19_2_222_1r6m_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b3818,Unmodelled_MONOMER_b3818_&_full_match_1,88.75849206349206,{'AF-P27843-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_DIMER_b0982,Unmodelled_DIMER_b0982_&_full_match_0,95.9,{'P0ACZ2_7_148_4d74_&_NOBFS_0': 1},1.0,,,,1.0,
ABC-24-CPLX,ABC-24-CPLX_&_full_match_0,83.86683505782108,{'ABC-24-CPLX_AlphaMulti': 1},1.0,,,1.0,,
Unmodelled_DIMER_b2531,Unmodelled_DIMER_b2531_&_full_match_0,83.95,{'P0AGK8_2_139_4chu_&_NOBFS_0': 1},1.0,,,,1.0,
FPPSYN-DIMER,FPPSYN-DIMER_&_full_match_0,99.85,{'P22939_1_299_1rqi_&_NOBFS_0': 1},1.0,,,,1.0,
3-ISOPROPYLMALDEHYDROG-CPLX,3-ISOPROPYLMALDEHYDROG-CPLX_&_full_match_0,100.0,{'P30125_1_363_1cm7_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b2786,Unmodelled_MONOMER_b2786_&_full_match_0,80.3047276688453,{'AF-P0AEC5-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
SORB6PDEHYDROG-CPLX,SORB6PDEHYDROG-CPLX_&_full_match_1,99.5,{'P05707_2_259_5o3z_&_NOBFS_0': 1},1.0,,,,1.0,
CITLY-CPLX,CITLY-CPLX_&_subset_match_10,91.38576373626373,"{'CILA_ECOLI_model1_clean_residues_removed_&_NOBFS_0': 6, 'ACPSUB-CPLX_AlphaMulti': 1, 'CITRYLY-CPLX_AlphaMulti': 1}",8.0,,,0.43956043956043955,,0.5604395604395604
Unmodelled_MONOMER_b3098,Unmodelled_MONOMER_b3098_&_full_match_1,70.21485148514853,{'AF-P64581-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b3099,Unmodelled_MONOMER_b3099_&_full_match_0,74.4147014925373,{'AF-P64585-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b1697,Unmodelled_MONOMER_b1697_&_full_match_2,99.2,{'P76201_1_252_6fah_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b3090,Unmodelled_MONOMER_b3090_&_full_match_0,85.82765027322405,{'AF-P42603-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
FUMARATE-REDUCTASE,FUMARATE-REDUCTASE_&_full_match_0,95.95535583941609,{'FUMARATE-REDUCTASE_AlphaMulti': 1},1.0,,,1.0,,
Unmodelled_MONOMER_b3094,Unmodelled_MONOMER_b3094_&_full_match_0,83.5208914728682,{'AF-P0ACL2-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
GCVP-CPLX,GCVP-CPLX_&_full_match_0,99.55,{'P33195_1_954_4lgl_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b3096,Unmodelled_MONOMER_b3096_&_full_match_1,76.79425196850396,{'AF-P42615-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b1691,Unmodelled_MONOMER_b1691_&_full_match_1,90.4,{'YDIN_ECOLI_model1_clean_residues_removed_&_NOBFS_0': 1},1.0,,,,,1.0
TRKA-MONOMER_SAPD-MONOMER_TRKH-MONOMER,TRKA-MONOMER_SAPD-MONOMER_TRKH-MONOMER_&_subset_match_0,92.84250983477578,"{'AF-P0AGI8-F1-model_v2_&_NOBFS_0': 1, 'P0AAH4_1_325_4fwi_&_NOBFS_0': 1, 'AF-P0AFZ7-F1-model_v2_&_NOBFS_0': 1}",3.0,,0.7403619197482297,,0.25963808025177026,
GRXC-MONOMER,GRXC-MONOMER_&_full_match_2,99.1,{'GLRX3_ECOLI_model1_clean_residues_removed_&_NOBFS_0': 1},1.0,,,,,1.0
CPLX0-3948,CPLX0-3948_&_full_match_0,100.0,{'P39411_1_170_1u5w_&_NOBFS_0': 1},1.0,,,,1.0,
CPLX0-3949,CPLX0-3949_&_subset_match_7,90.48578988941549,"{'b3991_6__AlphaMulti': 1, 'AF-P30140-F1-model_v2_&_NOBFS_0': 6}",7.0,,0.5955766192733017,0.40442338072669826,,
EG12130-MONOMER_EG12131-MONOMER,EG12130-MONOMER_EG12131-MONOMER_&_full_match_0,83.90531130876748,{'EG12130-MONOMER_EG12131-MONOMER_AlphaMulti': 1},1.0,,,1.0,,
CPLX0-3943,CPLX0-3943_&_full_match_0,97.1,{'6vtv-assembly1.cif_&_NOBFS_0': 1},1.0,1.0,,,,
CPLX0-3941,CPLX0-3941_&_full_match_0,95.0,{'P76084_2_137_2fs2_&_NOBFS_0': 1},1.0,,,,1.0,
GLNG-CPLX,GLNG-CPLX_&_full_match_1,80.90536247334755,{'GLNG-CPLX_AlphaMulti': 1},1.0,,,1.0,,
Unmodelled_MONOMER_b2195,Unmodelled_MONOMER_b2195_&_full_match_1,92.51740540540541,{'AF-P0AA86-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
SPOT-MONOMER,SPOT-MONOMER_&_full_match_3,99.6,{'P0AG24_3_701_5kpv_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b2192,Unmodelled_MONOMER_b2192_&_full_match_2,92.86015337423314,{'AF-P0CE55-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_MONOMER_b4666,Unmodelled_MONOMER_b4666_&_full_match_1,89.01421052631581,{'AF-C1P617-F1-model_v2_&_NOBFS_0': 1},1.0,,1.0,,,
Unmodelled_11-MER_b1641,Unmodelled_11-MER_b1641_&_full_match_0,89.0,{'7ojg-assembly1.cif_&_MATCH_1': 1},1.0,1.0,,,,
CPLX0-1141,CPLX0-1141_&_full_match_1,93.02,{'P0A821_7_462_3w1h_&_NOBFS_0': 1},1.0,,,,1.0,
CPLX0-1142,CPLX0-1142_&_full_match_0,99.8,{'1pt7-assembly1.cif_&_MATCH_2': 1},1.0,1.0,,,,
Unmodelled_DIMER_b1159,Unmodelled_DIMER_b1159_&_full_match_1,100.0,{'P24200_1_277_6ghc_&_NOBFS_0': 1},1.0,,,,1.0,
NUCLEOSIDE-DIP-KIN-CPLX,NUCLEOSIDE-DIP-KIN-CPLX_&_full_match_1,99.3,{'P0A763_2_143_2hur_&_NOBFS_0': 1},1.0,,,,1.0,
RplE_mono,RplE_mono_&_full_match_0,99.7,{'RL5_ECOLI_model1_clean_residues_removed_&_NOBFS_0': 1},1.0,,,,,1.0
RplX_mono,RplX_mono_&_full_match_2,98.1,{'P60624_2_103_6s0k_&_NOBFS_0': 1},1.0,,,,1.0,
CPLX0-3,CPLX0-3_&_full_match_0,100.0,{'P07013_1_104_2ccz_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b2237,Unmodelled_MONOMER_b2237_&_full_match_2,97.2,{'P27294_6_215_6dfl_&_NOBFS_0': 1},1.0,,,,1.0,
Unmodelled_MONOMER_b2236,Unmodelled_MONOMER_b2236_&_full_match_2,98.8,{'P0ABW3_2_84_1iue_&_NOBFS_0': 1},1.0,,,,1.0,
