,pdb_id,release_date,resolution,structure_type
49,1DRV,1997-01-27T00:00:00Z,2.2,experimental
50,1DRW,1997-01-27T00:00:00Z,2.2,experimental
51,1ARZ,1998-10-14T00:00:00Z,2.6,experimental
52,1C30,1999-12-10T00:00:00Z,2.0,experimental
53,1CS0,1999-12-10T00:00:00Z,2.0,experimental
54,1BXR,1999-04-20T00:00:00Z,2.1,experimental
55,1C3O,1999-12-10T00:00:00Z,2.1,experimental
56,1CE8,1999-07-26T00:00:00Z,2.1,experimental
57,1JDB,1998-06-17T00:00:00Z,2.1,experimental
58,1KEE,2001-12-21T00:00:00Z,2.1,experimental
59,1M6V,2002-07-31T00:00:00Z,2.1,experimental
60,1T36,2004-09-21T00:00:00Z,2.1,experimental
61,1A9X,1998-10-21T00:00:00Z,1.8,experimental
62,1XK7,2005-03-15T00:00:00Z,1.6,experimental
63,1XK6,2005-03-15T00:00:00Z,1.85,experimental
64,1XVT,2005-03-15T00:00:00Z,2.3,experimental
65,1XVU,2005-03-15T00:00:00Z,2.4,experimental
66,1XVV,2005-03-15T00:00:00Z,2.4,experimental
67,1XA3,2004-11-16T00:00:00Z,1.85,experimental
68,1XA4,2004-11-16T00:00:00Z,1.9,experimental
69,3HFX,2010-03-31T00:00:00Z,3.15,experimental
70,2WSX,2010-09-08T00:00:00Z,3.5,experimental
71,3L9W,2010-11-17T00:00:00Z,1.75,experimental
72,3L9X,2010-11-17T00:00:00Z,2.1,experimental
73,3EYW,2009-06-30T00:00:00Z,2.4,experimental
74,6CW7,2019-01-09T00:00:00Z,1.03,experimental
75,6CXK,2019-01-09T00:00:00Z,1.108,experimental
76,4KJJ,2013-08-21T00:00:00Z,1.15,experimental
77,4NX7,2014-01-15T00:00:00Z,1.15,experimental
78,5CC9,2015-08-05T00:00:00Z,1.199,experimental
79,6CYV,2019-01-09T00:00:00Z,1.3,experimental
80,4NX6,2014-01-15T00:00:00Z,1.35,experimental
81,6MR9,2019-05-15T00:00:00Z,1.35,experimental
82,6MT8,2019-05-15T00:00:00Z,1.35,experimental
83,6MTH,2019-05-15T00:00:00Z,1.35,experimental
84,4KJK,2013-08-21T00:00:00Z,1.351,experimental
85,5W3Q,2017-08-09T00:00:00Z,1.401,experimental
86,3DAU,2009-04-14T00:00:00Z,1.5,experimental
87,5CCC,2015-08-05T00:00:00Z,1.5,experimental
88,1RA9,1996-12-23T00:00:00Z,1.55,experimental
89,4PDJ,2015-04-15T00:00:00Z,"[1.599, 1.994]",experimental
90,7D4X,2021-06-09T00:00:00Z,1.599,experimental
91,1RA2,1996-12-23T00:00:00Z,1.6,experimental
92,4I13,2013-11-27T00:00:00Z,1.6,experimental
93,7D4L,2021-06-09T00:00:00Z,1.6,experimental
94,5UIH,2017-11-22T00:00:00Z,1.647,experimental
95,7D3Z,2021-06-09T00:00:00Z,1.65,experimental
96,7D6G,2021-06-09T00:00:00Z,"[1.65, 2.1]",experimental
97,7D49,2021-06-09T00:00:00Z,1.651,experimental
98,4DFR,1982-10-21T00:00:00Z,1.7,experimental
99,4X5F,2016-01-13T00:00:00Z,1.7,experimental
100,7LVC,2021-03-17T00:00:00Z,1.7,experimental
101,5EAJ,2016-09-21T00:00:00Z,1.701,experimental
102,4EJ1,2013-04-24T00:00:00Z,1.75,experimental
103,3OCH,2010-12-08T00:00:00Z,1.79,experimental
104,3QYL,2012-01-18T00:00:00Z,1.79,experimental
105,1DHJ,1994-01-31T00:00:00Z,1.8,experimental
106,1RA3,1996-12-23T00:00:00Z,1.8,experimental
107,1RA8,1997-03-12T00:00:00Z,1.8,experimental
108,1RF7,1997-03-12T00:00:00Z,1.8,experimental
109,1RX2,1997-01-11T00:00:00Z,1.8,experimental
110,3QL3,2011-04-27T00:00:00Z,1.8,experimental
111,4X5I,2016-01-13T00:00:00Z,1.8,experimental
112,5E8Q,2016-09-21T00:00:00Z,1.8,experimental
113,5UJX,2017-12-27T00:00:00Z,1.8,experimental
114,5Z6F,2018-09-19T00:00:00Z,1.801,experimental
115,5Z6K,2018-09-19T00:00:00Z,1.802,experimental
116,5Z6J,2018-09-19T00:00:00Z,1.803,experimental
117,1DYJ,1995-06-03T00:00:00Z,1.85,experimental
118,4X5J,2016-01-13T00:00:00Z,1.85,experimental
119,4I1N,2013-11-27T00:00:00Z,1.888,experimental
120,1DHI,1994-01-31T00:00:00Z,1.9,experimental
121,1DRA,1994-01-31T00:00:00Z,1.9,experimental
122,1DYH,1995-06-03T00:00:00Z,1.9,experimental
123,1DYI,1995-06-03T00:00:00Z,1.9,experimental
124,1JOM,1996-11-08T00:00:00Z,1.9,experimental
125,1RA1,1996-12-23T00:00:00Z,1.9,experimental
126,1RC4,1997-03-12T00:00:00Z,1.9,experimental
127,1RX9,1997-04-01T00:00:00Z,1.9,experimental
128,2D0K,2006-02-28T00:00:00Z,1.9,experimental
129,2DRC,1994-01-31T00:00:00Z,1.9,experimental
130,3DRC,1994-01-31T00:00:00Z,1.9,experimental
131,4X5G,2016-01-13T00:00:00Z,1.9,experimental
132,4X5H,2016-01-13T00:00:00Z,1.9,experimental
133,5Z6L,2018-09-19T00:00:00Z,1.9,experimental
134,6XG5,2021-03-24T00:00:00Z,1.9,experimental
135,7REB,2022-07-27T00:00:00Z,1.91,experimental
136,5UIO,2017-11-22T00:00:00Z,1.929,experimental
137,3K74,2010-10-20T00:00:00Z,1.95,experimental
138,1DRB,1994-01-31T00:00:00Z,1.96,experimental
139,1JOL,1996-11-08T00:00:00Z,1.96,experimental
140,1RG7,1997-03-12T00:00:00Z,2.0,experimental
141,1RX1,1997-01-11T00:00:00Z,2.0,experimental
142,1RX6,1997-01-11T00:00:00Z,2.0,experimental
143,3KFY,2010-12-08T00:00:00Z,2.08,experimental
144,3QYO,2012-01-18T00:00:00Z,2.09,experimental
145,3R33,2012-01-25T00:00:00Z,2.09,experimental
146,1RB2,1997-03-12T00:00:00Z,2.1,experimental
147,6XG4,2021-03-24T00:00:00Z,2.1,experimental
148,7MQP,2022-05-11T00:00:00Z,2.1,experimental
149,2ANQ,2006-07-25T00:00:00Z,2.13,experimental
150,1DDS,1995-10-15T00:00:00Z,2.2,experimental
151,1RX3,1997-01-11T00:00:00Z,2.2,experimental
152,1RX4,1997-01-11T00:00:00Z,2.2,experimental
153,2INQ,2007-02-06T00:00:00Z,2.2,experimental
154,4EIZ,2013-04-24T00:00:00Z,2.2,experimental
155,6CQA,2019-01-09T00:00:00Z,2.2,experimental
156,5Z6M,2018-09-19T00:00:00Z,2.202,experimental
157,1DRH,1995-02-07T00:00:00Z,2.3,experimental
158,1RB3,1997-03-12T00:00:00Z,2.3,experimental
159,1RX5,1997-01-11T00:00:00Z,2.3,experimental
160,1RX7,1997-03-12T00:00:00Z,2.3,experimental
161,5DFR,1990-07-15T00:00:00Z,2.3,experimental
162,7NAE,2022-06-29T00:00:00Z,2.35,experimental
163,1RH3,1997-03-12T00:00:00Z,2.4,experimental
164,6DFR,1990-07-15T00:00:00Z,2.4,experimental
165,1DDR,1995-10-15T00:00:00Z,2.45,experimental
166,1TDR,1995-07-10T00:00:00Z,2.5,experimental
167,4EIG,2013-04-24T00:00:00Z,2.5,experimental
168,7DFR,1990-07-15T00:00:00Z,2.5,experimental
169,1DRE,1997-03-12T00:00:00Z,2.6,experimental
170,1RD7,1996-12-23T00:00:00Z,2.6,experimental
171,1RE7,1996-12-23T00:00:00Z,2.6,experimental
172,2ANO,2006-07-25T00:00:00Z,2.68,experimental
173,1RX8,1997-03-12T00:00:00Z,2.8,experimental
174,4FHB,2013-04-24T00:00:00Z,2.8,experimental
175,7F3B,2022-04-27T00:00:00Z,2.81,experimental
176,7MYM,2022-06-01T00:00:00Z,3.04,experimental
177,5UII,2018-01-31T00:00:00Z,1.351,experimental
178,4KJL,2013-08-21T00:00:00Z,1.38,experimental
179,4GH8,2013-06-05T00:00:00Z,1.85,experimental
180,5UIP,2017-11-22T00:00:00Z,1.9,experimental
181,6RUL,2020-02-12T00:00:00Z,2.2,experimental
182,6RUM,2020-02-12T00:00:00Z,1.6,experimental
183,1PTM,2003-11-04T00:00:00Z,1.96,experimental
184,1PS7,2003-11-04T00:00:00Z,2.47,experimental
185,1PS6,2003-11-04T00:00:00Z,2.25,experimental
186,4RHB,2015-08-26T00:00:00Z,3.355,experimental
187,1K0W,2003-01-28T00:00:00Z,2.1,experimental
188,1JDI,2002-01-23T00:00:00Z,2.4,experimental
189,4F2D,2012-05-30T00:00:00Z,2.3,experimental
190,2AJT,2005-08-16T00:00:00Z,2.6,experimental
191,2HXG,2006-08-15T00:00:00Z,2.8,experimental
192,7CXO,2021-09-08T00:00:00Z,3.2,experimental
193,7CHL,2021-10-20T00:00:00Z,3.4,experimental
194,2QRY,2008-02-05T00:00:00Z,2.25,experimental
195,1CM7,1999-07-01T00:00:00Z,2.06,experimental
196,2F1F,2006-01-24T00:00:00Z,1.75,experimental
197,7ONW,2021-08-04T00:00:00Z,2.7,experimental
198,7ONN,2021-08-04T00:00:00Z,1.92,experimental
199,7ONO,2021-08-04T00:00:00Z,2.3,experimental
200,6HZQ,2019-11-20T00:00:00Z,1.95,experimental
201,6I1I,2019-11-20T00:00:00Z,1.75,experimental
202,7B61,2021-01-13T00:00:00Z,1.65,experimental
203,7B6M,2020-12-23T00:00:00Z,1.67,experimental
204,7B6P,2020-12-23T00:00:00Z,1.68,experimental
205,7B53,2020-12-16T00:00:00Z,1.75,experimental
206,7B6N,2020-12-23T00:00:00Z,1.79,experimental
207,7B6Q,2020-12-23T00:00:00Z,1.82,experimental
208,7B9W,2021-01-20T00:00:00Z,1.82,experimental
209,7B6K,2020-12-23T00:00:00Z,1.838,experimental
210,7B6O,2020-12-23T00:00:00Z,1.86,experimental
211,7B68,2020-12-23T00:00:00Z,1.89,experimental
212,7B60,2020-12-23T00:00:00Z,1.91,experimental
213,7B6I,2020-12-23T00:00:00Z,2.069,experimental
214,7B6L,2020-12-23T00:00:00Z,2.08,experimental
215,7B6J,2020-12-23T00:00:00Z,2.09,experimental
216,7B9E,2020-12-23T00:00:00Z,2.12,experimental
217,1E8C,2001-09-13T00:00:00Z,2.0,experimental
218,1GG4,2000-12-20T00:00:00Z,2.3,experimental
219,2Y1O,2011-12-28T00:00:00Z,1.49,experimental
220,2Y66,2011-10-19T00:00:00Z,1.49,experimental
221,2Y68,2011-06-08T00:00:00Z,1.49,experimental
222,2JFG,2007-05-15T00:00:00Z,1.52,experimental
223,2Y67,2011-10-19T00:00:00Z,1.85,experimental
224,2UUP,2008-03-25T00:00:00Z,1.88,experimental
225,2JFF,2007-05-15T00:00:00Z,1.89,experimental
226,2VTD,2008-11-25T00:00:00Z,1.94,experimental
227,2JFH,2007-05-15T00:00:00Z,1.97,experimental
228,2VTE,2008-11-25T00:00:00Z,2.2,experimental
229,2UUO,2008-03-25T00:00:00Z,2.5,experimental
230,2X5O,2010-09-15T00:00:00Z,1.46,experimental
231,2XPC,2011-05-18T00:00:00Z,1.49,experimental
232,2WJP,2010-08-25T00:00:00Z,1.6,experimental
233,4UAG,2000-03-15T00:00:00Z,1.66,experimental
234,2UAG,2000-02-25T00:00:00Z,1.7,experimental
235,3UAG,2000-02-25T00:00:00Z,1.77,experimental
236,5A5E,2016-04-13T00:00:00Z,1.84,experimental
237,1EEH,2001-01-17T00:00:00Z,1.9,experimental
238,5A5F,2016-04-13T00:00:00Z,1.9,experimental
239,1UAG,1998-03-18T00:00:00Z,1.95,experimental
240,1E0D,2000-06-09T00:00:00Z,2.4,experimental
241,1F0K,2000-07-27T00:00:00Z,1.9,experimental
242,1NLM,2003-02-11T00:00:00Z,2.5,experimental
243,2F00,2006-10-24T00:00:00Z,2.5,experimental
244,4C5C,2015-01-21T00:00:00Z,1.4,experimental
245,4C5B,2015-01-21T00:00:00Z,1.5,experimental
246,4C5A,2015-01-21T00:00:00Z,1.65,experimental
247,1IOW,1997-02-12T00:00:00Z,1.9,experimental
248,1IOV,1997-02-12T00:00:00Z,2.2,experimental
249,2DLN,1995-11-01T00:00:00Z,2.3,experimental
250,4MQY,2013-10-23T00:00:00Z,2.005,experimental
251,7PHJ,2022-09-07T00:00:00Z,2.45,experimental
252,7WW6,2022-06-01T00:00:00Z,1.36,experimental
253,7WW5,2022-06-01T00:00:00Z,1.57,experimental
254,7X9O,2022-06-01T00:00:00Z,1.58,experimental
255,7WW8,2022-06-01T00:00:00Z,1.64,experimental
256,7WW7,2022-06-01T00:00:00Z,1.67,experimental
257,7X9H,2022-06-01T00:00:00Z,1.69,experimental
258,7X9N,2022-06-01T00:00:00Z,1.7,experimental
259,3A6S,2009-10-27T00:00:00Z,1.8,experimental
260,7WW9,2022-06-01T00:00:00Z,1.8,experimental
261,7X9K,2022-06-01T00:00:00Z,1.81,experimental
262,7X9L,2022-06-01T00:00:00Z,1.82,experimental
263,7WWA,2022-06-01T00:00:00Z,1.9,experimental
264,7X9I,2022-06-01T00:00:00Z,1.9,experimental
265,3A6T,2009-10-27T00:00:00Z,1.96,experimental
266,7X9J,2022-06-01T00:00:00Z,1.98,experimental
267,3A6V,2009-10-27T00:00:00Z,2.0,experimental
268,3A6U,2009-10-27T00:00:00Z,2.56,experimental
269,1MUT,1996-04-03T00:00:00Z,"['n', 'u', 'l', 'l']",experimental
270,1PPX,2003-08-26T00:00:00Z,"['n', 'u', 'l', 'l']",experimental
271,1PUN,2003-08-26T00:00:00Z,"['n', 'u', 'l', 'l']",experimental
272,1PUQ,2003-08-26T00:00:00Z,"['n', 'u', 'l', 'l']",experimental
273,1PUS,2003-08-26T00:00:00Z,"['n', 'u', 'l', 'l']",experimental
274,1TUM,1997-05-15T00:00:00Z,"['n', 'u', 'l', 'l']",experimental
275,1N3B,2003-01-28T00:00:00Z,1.8,experimental
276,6ARI,2018-08-22T00:00:00Z,2.0,experimental
277,1T3H,2004-05-11T00:00:00Z,2.5,experimental
278,1VHT,2003-12-30T00:00:00Z,1.59,experimental
279,1VHL,2003-12-30T00:00:00Z,1.65,experimental
280,1VIY,2003-12-30T00:00:00Z,1.89,experimental
281,2QTC,2007-08-14T00:00:00Z,1.77,experimental
282,1L8A,2002-07-24T00:00:00Z,1.85,experimental
283,2G28,2006-04-25T00:00:00Z,1.85,experimental
284,2IEA,2006-10-03T00:00:00Z,1.85,experimental
285,2QTA,2007-08-14T00:00:00Z,1.85,experimental
286,1RP7,2004-03-16T00:00:00Z,2.09,experimental
287,2G25,2006-04-25T00:00:00Z,2.1,experimental
288,2G67,2006-09-12T00:00:00Z,2.32,experimental
289,4JDR,2013-04-24T00:00:00Z,2.5,experimental
290,1L5J,2002-06-12T00:00:00Z,2.4,experimental
291,3O4F,2010-08-18T00:00:00Z,2.9,experimental
292,4E9S,2013-05-01T00:00:00Z,1.06,experimental
293,3OD3,2011-09-07T00:00:00Z,1.1,experimental
294,3UAD,2012-04-11T00:00:00Z,1.1,experimental
295,3UAB,2012-04-11T00:00:00Z,1.3,experimental
296,3UAC,2012-04-11T00:00:00Z,1.3,experimental
297,3UAE,2012-04-11T00:00:00Z,1.3,experimental
298,4E9Q,2013-05-01T00:00:00Z,1.3,experimental
299,4E9R,2013-05-01T00:00:00Z,1.3,experimental
300,4E9T,2013-05-01T00:00:00Z,1.3,experimental
301,1KV7,2002-02-06T00:00:00Z,1.4,experimental
302,4HAK,2013-10-30T00:00:00Z,1.4,experimental
303,4HAL,2013-10-30T00:00:00Z,1.4,experimental
304,5B7E,2016-10-19T00:00:00Z,1.42,experimental
305,3PAV,2011-10-19T00:00:00Z,1.45,experimental
306,5B7F,2016-10-19T00:00:00Z,1.45,experimental
307,5YS1,2018-10-17T00:00:00Z,1.49,experimental
308,7F0V,2022-06-15T00:00:00Z,1.494,experimental
309,1PF3,2003-06-24T00:00:00Z,1.5,experimental
310,3NSC,2011-08-17T00:00:00Z,1.5,experimental
311,3QQX,2012-02-29T00:00:00Z,1.5,experimental
312,4NER,2014-03-12T00:00:00Z,1.6,experimental
313,1N68,2003-06-24T00:00:00Z,1.7,experimental
314,3UAA,2012-04-11T00:00:00Z,1.7,experimental
315,7F19,2022-06-15T00:00:00Z,1.773,experimental
316,3NT0,2011-08-17T00:00:00Z,1.8,experimental
317,5B7M,2016-10-19T00:00:00Z,1.8,experimental
318,6IM8,2019-03-20T00:00:00Z,1.801,experimental
319,4EF3,2013-05-22T00:00:00Z,1.9,experimental
320,2FQE,2007-01-30T00:00:00Z,1.92,experimental
321,6IM7,2019-03-20T00:00:00Z,1.97,experimental
322,2FQF,2007-01-30T00:00:00Z,2.0,experimental
323,3NSD,2011-08-17T00:00:00Z,2.0,experimental
324,3NSF,2011-08-17T00:00:00Z,2.0,experimental
325,3PAU,2011-10-19T00:00:00Z,2.0,experimental
326,3NSY,2011-08-17T00:00:00Z,2.1,experimental
327,5YS5,2018-10-17T00:00:00Z,2.2,experimental
328,2FQG,2007-01-30T00:00:00Z,2.3,experimental
329,2FQD,2007-01-30T00:00:00Z,2.4,experimental
330,6IM9,2019-03-20T00:00:00Z,3.3,experimental
331,2YXW,2008-01-01T00:00:00Z,1.5,experimental
332,2YXV,2008-01-01T00:00:00Z,1.81,experimental
333,5KNX,2017-07-19T00:00:00Z,2.4,experimental
334,5KNT,2017-07-19T00:00:00Z,2.55,experimental
335,5KNS,2017-07-19T00:00:00Z,2.792,experimental
336,1G9S,2002-08-28T00:00:00Z,2.8,experimental
337,1G9T,2002-08-28T00:00:00Z,2.8,experimental
338,5KNU,2017-07-19T00:00:00Z,2.808,experimental
339,5KNV,2017-07-19T00:00:00Z,2.861,experimental
340,5KNR,2017-07-19T00:00:00Z,2.864,experimental
341,1GRV,2002-12-13T00:00:00Z,2.9,experimental
342,8CAG,2023-02-01T00:00:00Z,2.4,experimental
343,1I6P,2001-05-09T00:00:00Z,2.0,experimental
344,1I6O,2001-05-09T00:00:00Z,2.2,experimental
345,2ESF,2006-04-18T00:00:00Z,2.25,experimental
346,7SEV,2021-11-03T00:00:00Z,2.3,experimental
347,1T75,2004-06-22T00:00:00Z,2.5,experimental
348,1PQH,2003-11-18T00:00:00Z,1.29,experimental
349,4AZD,2012-07-25T00:00:00Z,1.62,experimental
350,4CRZ,2015-03-25T00:00:00Z,1.7,experimental
351,1PT1,2003-11-11T00:00:00Z,1.9,experimental
352,1PYQ,2003-11-18T00:00:00Z,1.9,experimental
353,1PPY,2003-11-18T00:00:00Z,1.95,experimental
354,1PQE,2003-11-18T00:00:00Z,1.95,experimental
355,1PQF,2003-11-18T00:00:00Z,2.0,experimental
356,1PT0,2003-11-11T00:00:00Z,2.0,experimental
357,4CS0,2015-03-25T00:00:00Z,2.1,experimental
358,4CRY,2015-03-25T00:00:00Z,1.61,experimental
359,3TM7,2012-04-11T00:00:00Z,1.7,experimental
360,1PYU,2003-11-18T00:00:00Z,1.9,experimental
361,5LS7,2017-09-13T00:00:00Z,1.16,experimental
362,4AOK,2012-10-31T00:00:00Z,1.5,experimental
363,4AON,2012-10-31T00:00:00Z,1.5,experimental
364,6RXH,2020-03-18T00:00:00Z,2.0,experimental
365,4D7Z,2016-01-13T00:00:00Z,1.9,experimental
366,1AW8,1998-04-29T00:00:00Z,2.2,experimental
367,1IHO,2001-05-30T00:00:00Z,1.7,experimental
368,3GUZ,2010-02-09T00:00:00Z,1.67,experimental
369,1M3U,2003-07-22T00:00:00Z,1.8,experimental
370,5ETP,2016-05-04T00:00:00Z,1.05,experimental
371,5ETO,2016-05-04T00:00:00Z,1.07,experimental
372,4M5I,2014-04-02T00:00:00Z,1.08,experimental
373,5ETK,2016-05-04T00:00:00Z,1.09,experimental
374,4M5L,2014-04-02T00:00:00Z,1.094,experimental
375,4M5H,2014-04-02T00:00:00Z,1.11,experimental
376,4M5M,2014-04-02T00:00:00Z,1.118,experimental
377,4M5K,2014-04-02T00:00:00Z,1.296,experimental
378,4M5G,2014-04-02T00:00:00Z,1.31,experimental
379,5ETN,2016-05-04T00:00:00Z,1.4,experimental
380,5ETM,2016-05-04T00:00:00Z,1.46,experimental
381,4M5J,2014-04-02T00:00:00Z,1.696,experimental
382,5ETL,2016-05-04T00:00:00Z,1.82,experimental
383,4M5N,2014-04-02T00:00:00Z,2.0,experimental
384,3IP0,2009-08-25T00:00:00Z,0.89,experimental
385,3HD2,2010-05-19T00:00:00Z,1.1,experimental
386,3ILO,2010-08-11T00:00:00Z,1.1,experimental
387,3HSG,2010-06-23T00:00:00Z,1.14,experimental
388,3HSJ,2010-06-23T00:00:00Z,1.18,experimental
389,1HQ2,2003-04-15T00:00:00Z,1.25,experimental
390,1Q0N,2003-08-26T00:00:00Z,1.25,experimental
391,1TMM,2005-06-21T00:00:00Z,1.25,experimental
392,3HD1,2010-05-19T00:00:00Z,1.3,experimental
393,1RB0,2004-11-09T00:00:00Z,1.35,experimental
394,3KUH,2010-11-24T00:00:00Z,1.35,experimental
395,3HSZ,2010-06-23T00:00:00Z,1.4,experimental
396,3HT0,2010-06-23T00:00:00Z,1.4,experimental
397,1TMJ,2005-06-21T00:00:00Z,1.45,experimental
398,3ILI,2010-08-11T00:00:00Z,1.45,experimental
399,6AN4,2018-08-15T00:00:00Z,1.47,experimental
400,7KDR,2020-12-02T00:00:00Z,1.488,experimental
401,1EQM,2001-04-05T00:00:00Z,1.5,experimental
402,1F9H,2003-04-15T00:00:00Z,1.5,experimental
403,1HKA,1999-06-08T00:00:00Z,1.5,experimental
404,3KUE,2010-11-24T00:00:00Z,1.538,experimental
405,1KBR,2003-04-15T00:00:00Z,1.55,experimental
406,1RAO,2004-11-09T00:00:00Z,1.56,experimental
407,7KDO,2020-12-02T00:00:00Z,1.6,experimental
408,1G4C,2003-04-15T00:00:00Z,1.65,experimental
409,3ILJ,2010-08-11T00:00:00Z,1.65,experimental
410,3HSD,2010-06-23T00:00:00Z,1.652,experimental
411,3ILL,2010-08-11T00:00:00Z,1.73,experimental
412,4F7V,2012-07-11T00:00:00Z,1.73,experimental
413,1IM6,2003-04-15T00:00:00Z,1.74,experimental
414,3HCX,2010-05-19T00:00:00Z,1.75,experimental
415,1EX8,2001-05-01T00:00:00Z,1.85,experimental
416,3UDV,2012-01-04T00:00:00Z,1.88,experimental
417,3UDE,2012-01-04T00:00:00Z,1.881,experimental
418,3KUG,2010-11-24T00:00:00Z,1.996,experimental
419,1DY3,2000-08-18T00:00:00Z,2.0,experimental
420,3UD5,2012-01-04T00:00:00Z,2.0,experimental
421,6AN6,2018-08-15T00:00:00Z,2.3,experimental
422,1EQ0,2001-11-07T00:00:00Z,"['n', 'u', 'l', 'l']",experimental
423,2F63,2006-01-17T00:00:00Z,"['n', 'u', 'l', 'l']",experimental
424,2F65,2006-01-17T00:00:00Z,"['n', 'u', 'l', 'l']",experimental
425,1RTZ,2004-02-24T00:00:00Z,1.33,experimental
426,1RU1,2004-02-24T00:00:00Z,1.4,experimental
427,1RU2,2004-02-24T00:00:00Z,1.48,experimental
428,3VMA,2012-03-14T00:00:00Z,2.161,experimental
429,5HLD,2016-12-14T00:00:00Z,2.31,experimental
430,5HLA,2016-12-14T00:00:00Z,2.36,experimental
431,6YN0,2020-11-04T00:00:00Z,2.4,experimental
432,5HLB,2016-12-14T00:00:00Z,2.42,experimental
433,5HL9,2016-12-14T00:00:00Z,2.7,experimental
434,5FGZ,2016-01-20T00:00:00Z,2.85,experimental
435,3FWL,2009-06-02T00:00:00Z,3.086,experimental
436,7LQ6,2021-05-26T00:00:00Z,3.28,experimental
437,6FZK,2019-02-20T00:00:00Z,"['n', 'u', 'l', 'l']",experimental
438,6G5R,2019-02-20T00:00:00Z,"['n', 'u', 'l', 'l']",experimental
439,1QFG,2000-07-26T00:00:00Z,2.5,experimental
440,2FCP,1999-01-13T00:00:00Z,2.5,experimental
441,1BY5,1999-01-13T00:00:00Z,2.6,experimental
442,8B14,2023-02-08T00:00:00Z,2.6,experimental
443,1QFF,2000-07-26T00:00:00Z,2.7,experimental
444,1BY3,1999-01-13T00:00:00Z,2.74,experimental
445,1QJQ,2000-06-05T00:00:00Z,2.95,experimental
446,1QKC,2000-06-05T00:00:00Z,3.1,experimental
447,8A8C,2022-10-05T00:00:00Z,3.1,experimental
448,2GRX,2006-06-13T00:00:00Z,3.3,experimental
449,8A60,2022-10-05T00:00:00Z,3.37,experimental
450,1FCP,1999-01-13T00:00:00Z,2.7,experimental
451,1FI1,2001-08-29T00:00:00Z,2.9,experimental
452,4CU4,2014-04-09T00:00:00Z,2.3,experimental
453,7LB8,2021-11-24T00:00:00Z,3.4,experimental
454,1EFD,2000-04-05T00:00:00Z,1.9,experimental
455,1K2V,2002-04-17T00:00:00Z,1.97,experimental
456,1ESZ,2002-04-17T00:00:00Z,2.0,experimental
457,1K7S,2002-04-17T00:00:00Z,2.6,experimental
458,6ADB,2019-08-28T00:00:00Z,2.692,experimental
