,alphafold1_model_score,alphafold1_ipTM,alphafold1_pTM,plddt,pdb_file,score_file,dfparent_index,sequence_length,QCQA_verdict,PDB,SWISS,Comments
CPLX0-7417,0.6319999961853028,0.6299999952316284,0.64,82.485826446281,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7417.result/CPLX0-7417_unrelaxed_rank_1_model_4.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7417.result/CPLX0-7417_unrelaxed_rank_1_model_4_scores.json,CPLX0-7417,242.0,Good,,,
CPLX0-3781,0.674,0.66,0.73,85.93308,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-3781.result/CPLX0-3781_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-3781.result/CPLX0-3781_scores_rank_001_alphafold2_multimer_v3_model_1_seed_000.json,CPLX0-3781,250.0,Good,,,
HOLO-ACP-SYNTH-CPLX,0.4619999971389771,0.4099999964237213,0.67,90.14059523809524,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/HOLO-ACP-SYNTH-CPLX.result/HOLO-ACP-SYNTH-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/HOLO-ACP-SYNTH-CPLX.result/HOLO-ACP-SYNTH-CPLX_unrelaxed_rank_1_model_3_scores.json,HOLO-ACP-SYNTH-CPLX,252.0,Good,,,
CPLX0-8227,0.9300000000000002,0.93,0.93,94.23317647058823,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-8227.result/CPLX0-8227_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-8227.result/CPLX0-8227_scores_rank_001_alphafold2_multimer_v3_model_1_seed_000.json,CPLX0-8227,255.0,Auto,,,
IscU,0.6699999885559083,0.6399999856948853,0.79,90.193828125,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/IscU.result/IscU_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/IscU.result/IscU_unrelaxed_rank_1_model_3_scores.json,IscU,256.0,Good,,,
CPLX0-7666,0.29400000000000004,0.25,0.47,67.65538167938931,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7666.result/CPLX0-7666_unrelaxed_rank_1_model_5.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7666.result/CPLX0-7666_unrelaxed_rank_1_model_5_scores.json,CPLX0-7666,262.0,Poor,,,
CPLX0-7756,0.8899999885559083,0.8899999856948853,0.89,92.06914893617021,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7756.result/CPLX0-7756_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7756.result/CPLX0-7756_unrelaxed_rank_1_model_3_scores.json,CPLX0-7756,282.0,Auto,,,
CPLX0-7678,0.8080000019073487,0.8100000023841858,0.8,86.32308510638298,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7678.result/CPLX0-7678_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7678.result/CPLX0-7678_unrelaxed_rank_1_model_3_scores.json,CPLX0-7678,282.0,Auto,,,
CPLX0-3939,0.8540000190734864,0.8500000238418579,0.87,87.47063380281692,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-3939.result/CPLX0-3939_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-3939.result/CPLX0-3939_unrelaxed_rank_1_model_3_scores.json,CPLX0-3939,284.0,Auto,,,
CPLX0-7610,0.24199999713897705,0.1599999964237213,0.57,85.07999999999998,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7610.result/CPLX0-7610_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7610.result/CPLX0-7610_unrelaxed_rank_1_model_3_scores.json,CPLX0-7610,290.0,Poor,,,
CPLX0-7839,0.45000000000000007,0.4,0.65,87.60384353741497,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7839.result/CPLX0-7839_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7839.result/CPLX0-7839_scores_rank_001_alphafold2_multimer_v3_model_1_seed_000.json,CPLX0-7839,294.0,Poor,,,Restriction Enzyme
CPLX0-7639,0.8439999790191651,0.8399999737739563,0.86,93.23297297297297,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7639.result/CPLX0-7639_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7639.result/CPLX0-7639_unrelaxed_rank_1_model_3_scores.json,CPLX0-7639,296.0,Auto,,,
CPLX0-7733,0.8920000000000001,0.89,0.9,96.318125,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7733.result/CPLX0-7733_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7733.result/CPLX0-7733_scores_rank_001_alphafold2_multimer_v3_model_1_seed_000.json,CPLX0-7733,304.0,Auto,,,
ASPCARBREG-DIMER,0.8040000095367432,0.800000011920929,0.82,88.96774509803922,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/ASPCARBREG-DIMER.result/ASPCARBREG-DIMER_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/ASPCARBREG-DIMER.result/ASPCARBREG-DIMER_unrelaxed_rank_1_model_3_scores.json,ASPCARBREG-DIMER,306.0,Auto,,,
SoxR_dim,0.7480000000000001,0.75,0.74,82.30769480519481,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/SoxR_dim.result/SoxR_dim_unrelaxed_rank_1_model_4.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/SoxR_dim.result/SoxR_dim_unrelaxed_rank_1_model_4_scores.json,SoxR_dim,308.0,Good,,,
CPLX0-229,0.3360000085830689,0.27000001072883606,0.6,89.4024025974026,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-229.result/CPLX0-229_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-229.result/CPLX0-229_unrelaxed_rank_1_model_3_scores.json,CPLX0-229,308.0,Poor,,,
ATPF-CPLX,0.47599999904632573,0.4699999988079071,0.5,74.70272435897435,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/ATPF-CPLX.result/ATPF-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/ATPF-CPLX.result/ATPF-CPLX_unrelaxed_rank_1_model_3_scores.json,ATPF-CPLX,312.0,Good,,,
BCCP-CPLX,0.42199999713897707,0.4099999964237213,0.47,65.1523717948718,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/BCCP-CPLX.result/BCCP-CPLX_unrelaxed_rank_1_model_5.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/BCCP-CPLX.result/BCCP-CPLX_unrelaxed_rank_1_model_5_scores.json,BCCP-CPLX,312.0,Poor,,,
CPLX0-3921,0.7839999771118165,0.7799999713897705,0.8,80.61031746031746,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-3921.result/CPLX0-3921_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-3921.result/CPLX0-3921_unrelaxed_rank_1_model_3_scores.json,CPLX0-3921,315.0,Good,,,
CPLX0-7928,0.6720000133514404,0.6700000166893005,0.68,79.51629746835444,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7928.result/CPLX0-7928_unrelaxed_rank_1_model_4.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7928.result/CPLX0-7928_unrelaxed_rank_1_model_4_scores.json,CPLX0-7928,316.0,Good,,,
CPLX0-7923,0.6200000038146973,0.6200000047683716,0.62,70.25043478260869,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7923.result/CPLX0-7923_unrelaxed_rank_1_model_4.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7923.result/CPLX0-7923_unrelaxed_rank_1_model_4_scores.json,CPLX0-7923,322.0,Good,,,
CPLXECOLI-7943,0.9419999980926514,0.9399999976158142,0.95,97.11184848484848,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLXECOLI-7943.result/CPLXECOLI-7943_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLXECOLI-7943.result/CPLXECOLI-7943_unrelaxed_rank_1_model_3_scores.json,CPLXECOLI-7943,330.0,Auto,,,
CPLX0-2681,0.6700000133514404,0.6700000166893005,0.67,73.34257575757576,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-2681.result/CPLX0-2681_unrelaxed_rank_1_model_4.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-2681.result/CPLX0-2681_unrelaxed_rank_1_model_4_scores.json,CPLX0-2681,330.0,Good,,,
b1887_2_,0.812,0.82,0.78,83.00320359281437,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/b1887_2_.result/b1887_2__unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/b1887_2_.result/b1887_2__scores_rank_001_alphafold2_multimer_v3_model_1_seed_000.json,b1887_2_,334.0,Auto,,,
CPLX0-7853,0.17600000476837158,0.15000000596046448,0.28,52.97488165680474,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7853.result/CPLX0-7853_unrelaxed_rank_1_model_4.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7853.result/CPLX0-7853_unrelaxed_rank_1_model_4_scores.json,CPLX0-7853,338.0,Poor,,,
CPLX0-7679,0.8399999790191651,0.8399999737739563,0.84,88.70801169590644,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7679.result/CPLX0-7679_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7679.result/CPLX0-7679_unrelaxed_rank_1_model_3_scores.json,CPLX0-7679,342.0,Auto,,,
CHEYZ-CPLX,0.542,0.53,0.59,75.08128279883384,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CHEYZ-CPLX.result/CHEYZ-CPLX_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CHEYZ-CPLX.result/CHEYZ-CPLX_scores_rank_001_alphafold2_multimer_v3_model_1_seed_000.json,CHEYZ-CPLX,343.0,Poor,,,
GLUCONOKINII-CPLX,0.8939999885559083,0.8899999856948853,0.91,93.39605714285715,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/GLUCONOKINII-CPLX.result/GLUCONOKINII-CPLX_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/GLUCONOKINII-CPLX.result/GLUCONOKINII-CPLX_unrelaxed_rank_1_model_3_scores.json,GLUCONOKINII-CPLX,350.0,Auto,,,
CPLX0-7418,0.8399999790191651,0.8399999737739563,0.84,88.08221590909092,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7418.result/CPLX0-7418_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7418.result/CPLX0-7418_unrelaxed_rank_1_model_3_scores.json,CPLX0-7418,352.0,Auto,,,
CPLX0-7939,0.9399999980926514,0.9399999976158142,0.94,96.4813068181818,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7939.result/CPLX0-7939_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7939.result/CPLX0-7939_unrelaxed_rank_1_model_3_scores.json,CPLX0-7939,352.0,Auto,,,
CPLX0-7758,0.28399999475479126,0.20999999344348907,0.58,89.19700564971752,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7758.result/CPLX0-7758_unrelaxed_rank_1_model_3.pdb,../../../../../../../../mnt/wwn-0x5000c500b96b98e1-part1/GSPAT/GEMPRO/structures/all_alphafoldMultimer/CPLX0-7758.result/CPLX0-7758_unrelaxed_rank_1_model_3_scores.json,CPLX0-7758,354.0,Good,,,
