UniProt AC,Entry Name,TM Helix,Length,Native,TM-score,hyperlink
P0A9E2,SOXS_ECOLI,0.0,107.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10385
P77667,SUFA_ECOLI,0.0,122.0,2d2aA,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10389
P39394,SYME_ECOLI,0.0,113.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10392
P0A843,TATE_ECOLI,13.0,67.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10395
P77326,TFAS_ECOLI,0.0,114.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10399
A5A627,TISB_ECOLI,13.0,29.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10402
Q2EES9,TORI_ECOLI,0.0,66.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10406
P0AA25,THIO_ECOLI,0.0,109.0,1thoA,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10409
P45530,TUSB_ECOLI,0.0,95.0,2d1pC,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10412
P0AB18,TUSE_ECOLI,0.0,109.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10415
A8DYP9,LPFUR_ECOLI,0.0,28.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10418
P0AAB8,USPD_ECOLI,0.0,142.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10422
P0AAB2,WZB_ECOLI,0.0,147.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10425
P0AA95,YACC_ECOLI,5.0,115.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10432
P40711,YAEJ_ECOLI,0.0,140.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10437
Q47158,YAFP_ECOLI,0.0,150.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10443
P37008,YAGB_ECOLI,0.0,116.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10448
P0AAN5,YAIA_ECOLI,0.0,63.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10454
P0AAQ2,YAJD_ECOLI,0.0,115.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10459
P0AAR5,YBAN_ECOLI,67.0,125.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10463
P0AFP2,YBAZ_ECOLI,0.0,129.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10466
P68661,YBCO_ECOLI,0.0,96.0,3g27A,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10473
P18393,YBDZ_ECOLI,0.0,72.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10479
P0AAU7,YBFE_ECOLI,0.0,97.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10484
P0AAV0,YBGE_ECOLI,53.0,97.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10490
P41039,YBII_ECOLI,0.0,88.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10495
P0A8C1,YBJQ_ECOLI,5.0,107.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10500
P0AB12,YCCF_ECOLI,68.0,148.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10503
P0AB31,YCEK_ECOLI,18.0,75.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10507
P0AB43,YCGL_ECOLI,0.0,97.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10513
P0AB49,YCHH_ECOLI,39.0,92.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10517
P08245,YCIH_ECOLI,0.0,108.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10522
P0A8L7,YCIU_ECOLI,0.0,109.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10526
P76057,YDAQ_ECOLI,0.0,71.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10535
P0ACW6,YDCH_ECOLI,0.0,74.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10542
P67699,YDDM_ECOLI,0.0,94.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10548
P76156,YDFO_ECOLI,0.0,136.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10555
P0ACX3,YDHR_ECOLI,0.0,101.0,1wd6A,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10566
P76196,YDIL_ECOLI,0.0,118.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10571
P33219,YEBF_ECOLI,12.0,118.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10579
P64515,YECN_ECOLI,67.0,131.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10588
P33014,YEED_ECOLI,0.0,75.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10594
P69346,YEFM_ECOLI,0.0,83.0,2a6qA,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10600
P0AFT8,YEIW_ECOLI,0.0,84.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10606
P45505,YFAH_ECOLI,0.0,68.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10610
P76521,YFDY_ECOLI,53.0,80.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10621
P24178,YFFB_ECOLI,0.0,118.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10626
P76575,YFGJ_ECOLI,0.0,71.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10634
P52141,YFJZ_ECOLI,0.0,105.0,2ea9A,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10642
P77295,YGAV_ECOLI,0.0,99.0,3cuoA,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10647
Q46905,YGCO_ECOLI,0.0,86.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10652
P65294,YGDR_ECOLI,17.0,72.0,3fifB,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10657
P52060,YGGU_ECOLI,0.0,96.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10665
P0ADU5,YGIW_ECOLI,9.0,130.0,1nnxA,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10671
P0AFX0,RP5M_ECOLI,0.0,95.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10677
P0AGK4,YHBY_ECOLI,0.0,97.0,1ln4A,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10680
P45566,YHDT_ECOLI,37.0,80.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10686
P0ADW8,YHEV_ECOLI,0.0,66.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10690
P37613,YHHK_ECOLI,0.0,127.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10698
P0A9V5,YIAG_ECOLI,0.0,96.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10706
Q2M7R5,YIBT_ECOLI,0.0,69.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10711
P0ADN6,YIFL_ECOLI,13.0,67.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10722
P0ADQ5,YIIE_ECOLI,0.0,70.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10727
P09162,YJAA_ECOLI,0.0,127.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10732
P0AF48,YJBQ_ECOLI,0.0,138.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10737
P39274,YJDJ_ECOLI,0.0,90.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10744
P0AF70,YJEI_ECOLI,6.0,117.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10748
P0AF82,YJFN_ECOLI,6.0,91.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10754
P39332,YJGH_ECOLI,0.0,131.0,1pf5A,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10757
P75675,YKFJ_ECOLI,0.0,88.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10770
P77688,YLBG_ECOLI,0.0,123.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10776
P75917,YMDA_ECOLI,16.0,103.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10782
P09154,YMFS_ECOLI,0.0,137.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10789
P0CD93,YMJD_ECOLI,0.0,21.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10801
P76138,YNEL_ECOLI,0.0,59.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10810
A5A618,YNHF_ECOLI,18.0,29.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10817
P64490,YOAC_ECOLI,0.0,99.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10821
P0AA57,YOBA_ECOLI,12.0,124.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10826
Q2EES6,YOHO_ECOLI,22.0,35.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10834
P0AE42,YQAE_ECOLI,32.0,52.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10848
P67603,YQFB_ECOLI,0.0,103.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10852
P65298,YQHH_ECOLI,9.0,85.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10858
P45795,YRDB_ECOLI,0.0,85.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10868
P0ACN2,YTFH_ECOLI,0.0,126.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10875
A8DYQ1,YTHA_ECOLI,18.0,41.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10878
P0ACS5,ZNTR_ECOLI,0.0,141.0,1q08A,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10883
P46481,AAEB_ECOLI,186.0,655.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10886
P0A8P1,LFTR_ECOLI,2.0,234.0,2dptA,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10889
P77744,ABGR_ECOLI,0.0,302.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10892
P0ABD5,ACCA_ECOLI,4.0,319.0,2f9yA,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10895
P0A9Q5,ACCD_ECOLI,7.0,304.0,2f9yB,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10898
P0AFG8,ODP1_ECOLI,0.0,887.0,2g25A,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10901
P0A6A3,ACKA_ECOLI,0.0,400.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10904
P37623,ACPT_ECOLI,0.0,195.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10908
P24177,ACRD_ECOLI,207.0,1037.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10911
P0ACS9,ACRR_ECOLI,0.0,215.0,2qopA,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10914
P06134,ADA_ECOLI,0.0,354.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10917
P0A9Q7,ADHE_ECOLI,1.0,891.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10920
P60061,ADIC_ECOLI,256.0,445.0,3ob6B,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10923
P0AAP1,ADRA_ECOLI,84.0,371.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10926
P50466,AER_ECOLI,31.0,506.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10929
P42909,PTPB1_ECOLI,0.0,158.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10932
P0ACK2,AGAR_ECOLI,0.0,269.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10936
P19926,AGP_ECOLI,7.0,413.0,1nt4A,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10939
P33224,AIDB_ECOLI,1.0,541.0,3u33A,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10942
P25553,ALDA_ECOLI,1.0,479.0,2hg2A,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10945
P05050,ALKB_ECOLI,0.0,216.0,3khbB,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10948
P77425,ALLC_ECOLI,0.0,411.0,1z2lA,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10951
P0ACR0,ALLS_ECOLI,0.0,308.0,,,http://zhanglab.dcmb.med.umich.edu/QUARK/ecoli2/E10954
