Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Names	Component-Of	Locations
aceE	b0114	123017	125680	pyruvate dehydrogenase E1 component	aceE // b0114 // ECK0113	pyruvate dehydrogenase	cytosol // membrane
aceF	b0115	125695	127587	AceF-dihydrolipoate // AceF-S-acetyldihydrolipoate // AceF-lipoate // pyruvate dehydrogenase, E2 subunit	aceF // b0115 // ECK0114	pyruvate dehydrogenase // pyruvate dehydrogenase, E2 subunit // lipoamide dehydrogenase	cytosol
aceK	b4016	4218596	4220332	isocitrate dehydrogenase kinase/phosphatase	aceK // b4016 // ECK4008	isocitrate dehydrogenase kinase/phosphatase	cytosol
ackA	b2296	2413470	2414672	acetate kinase	ackA // b2296 // ECK2290		cytosol // membrane
ackB					ackB		
acnA	b1276	1335831	1338506	aconitate hydratase 1	acnA // acn // b1276 // ECK1271	aconitate hydratase A	cytosol
acnB	b0118	131615	134212	AcnB	acnB // yacJ // yacI // b0118 // ECK0117	bifunctional aconitate hydratase B and 2-methylisocitrate dehydratase	cytosol
acpH	b0404	424337	424918	acyl carrier protein phosphodiesterase	acpH // yajB // b0404 // ECK0398		cytosol
acpP	b1094	1151615	1151851	octanoyl-ACP // lipoyl-ACP // <i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP // <i>trans</i>-&Delta;<sup>2</sup>-cis-&Delta;<sup>5</sup>-dodecenoyl-ACP // succinyl-ACP // <i>cis</i>-&Delta;<SUP>3</SUP>-decenoyl-ACP // 3-oxo-<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP // (3<i>R</i>)-hydroxy <i>cis</i> &Delta;<sup>5</sup>-dodecenoyl-ACP // (3<i>R</i>)-3-hydroxybutanoyl-ACP // <i>trans</i> oct-2-enoyl-ACP // <i>trans</i>-but-2-enoyl-ACP // (3<i>R</i>)-3-hydroxyoctanoyl-ACP // <i>trans</i>-hexadec-2-enoyl-ACP // holo-[acyl-carrier protein] // acyl carrier protein	acpP // b1094 // ECK1080		cytosol
acpS	b2563	2700618	2700998	holo-[acyl-carrier-protein] synthase	acpS // dpj // b2563 // ECK2561	holo-[acyl-carrier-protein] synthase	cytosol
acpT	b3475	3612969	3613556	holo-[acyl carrier protein] synthase 2	acpT // yhhU // b3475 // ECK3459		cytosol
acrA	b0463	484426	485619	multidrug efflux pump membrane fusion lipoprotein AcrA	acrA // sipB // Mb // lir // mbl // mtcA // nbsA // b0463 // ECK0457	multidrug efflux pump AcrAD-TolC // multidrug efflux pump AcrAB-TolC	inner membrane // periplasmic space
acrB	b0462	481254	484403	multidrug efflux pump RND permease AcrB	acrB // acrE // b0462 // ECK0456	multidrug efflux pump AcrAB-TolC	inner membrane // periplasmic space
acrD	b2470	2587595	2590708	multidrug efflux pump RND permease AcrD	acrD // yffA // b2470 // ECK2465	multidrug efflux pump AcrAD-TolC	inner membrane // periplasmic space
acrE	b3265	3413864	3415021	multidrug efflux pump membrane fusion lipoprotein AcrE	acrE // envC // b3265 // ECK3252	multidrug efflux pump AcrEF-TolC	inner membrane
acrF	b3266	3415033	3418137	multidrug efflux pump RND permease AcrF	acrF // envD // b3266 // ECK3253	multidrug efflux pump AcrEF-TolC	inner membrane
acrR	b0464	485761	486408	DNA-binding transcriptional repressor AcrR	acrR // ybaH // b0464 // ECK0458	AcrR-ethidium	cytosol
acrZ	b0762	794773	794922	multidrug efflux pump accessory protein AcrZ	acrZ // ybhT // b0762 // ECK0751		cytosol // outer membrane // inner membrane
acs	b4069	4285413	4287371	acetyl-CoA synthetase (AMP-forming)	acs // yfaC // acsA // b4069 // ECK4062		cytosol
actP	b4067	4283253	4284902	acetate/glycolate:cation symporter	actP // yjcG // b4067 // ECK4060	acetate/glycolate:cation symporter	inner membrane
actS	b2865	2999136	2999891	amidase activator	actS // ygeR // b2865 // ECK2861		inner membrane // outer membrane
ada	b2213	2309341	2310405	DNA-binding transcriptional dual regulator / DNA repair protein Ada	ada // b2213 // ECK2205		cytosol
add	b1623	1702233	1703234	adenosine deaminase	add // b1623 // ECK1618		cytosol
adeD	b3665	3843964	3845730	adenine deaminase	adeD // adu // yicP // ade // b3665 // ECK3656	adenine deaminase	cytosol
adeP	b3714	3895272	3896609	adenine:H<sup>+</sup> symporter	adeP // yieG // purP // b3714 // ECK3707		inner membrane
adeQ	b3664	3842455	3843789	adenine transporter	adeQ // yicO // b3664 // ECK3655		inner membrane
adhE	b1241	1295446	1298121	fused acetaldehyde-CoA dehydrogenase and iron-dependent alcohol dehydrogenasealdehyde/alcohol dehydrogenase AdhE	adhE // adhC // ana // b1241 // ECK1235	fused acetaldehyde-CoA dehydrogenase and iron-dependent alcohol dehydrogenase	cytosol // membrane
adhP	b1478	1552828	1553838	ethanol dehydrogenase / alcohol dehydrogenase	adhP // yddN // b1478 // ECK1472	ethanol dehydrogenase / alcohol dehydrogenase	cytosol
adiA	b4117	4338254	4340521	arginine decarboxylase, degradative	adiA // adi // b4117 // ECK4110	arginine decarboxylase, degradative	cytosol
adiC	b4115	4335694	4337031	arginine:agmatine antiporter	adiC // yjdD // yjdE // b4115 // ECK4108	arginine:agmatine antiporter	inner membrane
adiY	b4116	4337168	4337929	DNA-binding transcriptional activator AdiY	adiY // b4116 // ECK4109		cytosol
adk	b0474	497175	497819	adenylate kinase	adk // dnaW // plsA // b0474 // ECK0468		cytosol
aegA	b2468	2583546	2585525	putative oxidoreductase AegA	aegA // yffG // b2468 // ECK2463		cytosol
aer	b3072	3217556	3219076	aerotaxis receptor	aer // yqjJ // air // b3072 // ECK3062		inner membrane
aes	b0476	499014	499973	acetylesterase	aes // ybaC // b0476 // ECK0470	acetylesterase	cytosol
afuB	b0263	278814	279162	CP4-6 prophage; ABC transporter membrane protein AfuB	afuB // fbpB // b0263 // ECK0265		inner membrane
afuC	b0262	277756	278802	CP4-6 prophage; ABC transporter ATP-binding protein AfuC	afuC // fbpC // yagC // b0262 // ECK0264		inner membrane // cytosol
agaA	b3135	3281122	3281625	putative truncated N-acetylgalactosamine-6-phosphate deacetylase	agaA // yraA // b3135 // ECK3123		cytosol
agaB	b3138	3284170	3284646	galactosamine-specific PTS enzyme IIB component	agaB // yraD // b3138 // ECK3126	galactosamine-specific PTS enzyme II (cryptic)	cytosol
agaC	b3139	3284685	3285488	galactosamine-specific PTS enzyme IIC component	agaC // yraE // b3139 // ECK3127	galactosamine-specific PTS enzyme II (cryptic)	inner membrane
agaD	b3140	3285478	3286269	galactosamine-specific PTS enzyme IID component	agaD // yraF // b3140 // ECK3128	galactosamine-specific PTS enzyme II (cryptic)	inner membrane
agaI	b3141	3286270	3287025	putative deaminase AgaI	agaI // yraG // b3141 // ECK3129		cytosol
agaR	b3131	3277856	3278665	DNA-binding transcriptional repressor AgaR	agaR // yhaW // b3131 // ECK3119		cytosol
agaS	b3136	3281976	3283130	putative galactosamine-6-phosphate deaminase/isomerase	agaS // yraB // b3136 // ECK3124		inner membrane // cytosol
agaV	b3133	3280217	3280690	<i>N</i>-acetyl-D-galactosamine specific PTS enzyme IIB component	agaV // yhaY // b3133 // ECK3121	<I>N</I>-acetyl-D-galactosamine specific PTS (cryptic)	cytosol
agaW	b3134	3280701	3281102	<I>N</I>-acetyl-D-galactosamine specific PTS truncated enzyme IIC component	agaW // yhaZ // b3134 // ECK3122	<I>N</I>-acetyl-D-galactosamine specific PTS (cryptic)	
agp	b1002	1065585	1066826	glucose-1-phosphatase	agp // b1002 // ECK0993	glucose-1-phosphatase	periplasmic space
agrA	b4712	3648063	3648144	small RNA AgrA	agrA // b4712 // ECK4569		
agrB	b4713	3648294	3648375	small regulatory RNA AgrB	agrB // b4713 // ECK4570		
ahpC	b0605	638945	639508	alkyl hydroperoxide reductase, AhpC component	ahpC // tpx // ssi8 // b0605 // ECK0599	alkyl hydroperoxide reductase	cytosol // membrane
ahpF	b0606	639753	641318	alkyl hydroperoxide reductase, AhpF component	ahpF // b0606 // ECK0600	alkyl hydroperoxide reductase	cytosol
ahr	b4269	4495190	4496209	NADPH-dependent aldehyde reductase Ahr	ahr // yjgB // b4269 // ECK4262	NADPH-dependent aldehyde reductase Ahr	cytosol
aidB	b4187	4414275	4415900	putative acyl-CoA dehydrogenase AidB	aidB // b4187 // ECK4183	isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor	cytosol
ais	b2252	2365018	2365620	putative lipopolysaccharide core heptose(II)-phosphate phosphatase	ais // pagH // pmrG // b2252 // ECK2245		periplasmic space
alaA	b2290	2407561	2408778	glutamate&mdash;pyruvate aminotransferase AlaA	alaA // yfbQ // b2290 // ECK2284	glutamate&mdash;pyruvate aminotransferase AlaA	cytosol
alaB				glutamate&mdash;pyruvate aminotransferase AlaB	alaB		
alaC	b2379	2497057	2498295	glutamate&mdash;pyruvate aminotransferase AlaC	alaC // yfdZ // b2379 // ECK2375	glutamate&mdash;pyruvate aminotransferase AlaC	cytosol
alaE	b2670	2799164	2799613	AlaE	alaE // ygaW // b2670 // ECK2664	AlaE	inner membrane
alaS	b2697	2819381	2822011	alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor	alaS // act // ala-act // lovB // b2697 // ECK2692	AlaS-L-alanine DNA-binding transcriptional repressor // alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor	cytosol // membrane
alaT	b3853	4037260	4037335	L-alanyl-tRNA<SUP>alaT</SUP> // tRNA-Ala(UGC)	alaT // talA // b3853 // ECK3845		cytosol
alaU	b3276	3426958	3427033	tRNA-Ala(UGC)	alaU // talD // b3276 // ECK3263		cytosol
alaV	b0203	225500	225575	tRNA-Ala(UGC)	alaV // b0203 // ECK0203		cytosol
alaW	b2397	2518156	2518231	tRNA-Ala(GGC)	alaW // alaWalpha // b2397 // ECK2391		cytosol
alaX	b2396	2518041	2518116	tRNA-Ala(GGC)	alaX // alaWbeta // b2396 // ECK2390		cytosol
aldA	b1415	1488232	1489671	aldehyde dehydrogenase A	aldA // ald // b1415 // ECK1408	aldehyde dehydrogenase A, NAD-linked	cytosol
aldB	b3588	3754973	3756511	aldehyde dehydrogenase B	aldB // yiaX // b3588 // ECK3577	aldehyde dehydrogenase B	cytosol
alkA	b2068	2146692	2147540	DNA-3-methyladenine glycosylase 2	alkA // aidA // b2068 // ECK2062		cytosol
alkB	b2212	2308691	2309341	DNA oxidative demethylase	alkB // aidD // b2212 // ECK2204		cytosol
allA	b0505	532451	532933	ureidoglycolate lyase	allA // glxA2 // ybbT // b0505 // ECK0498		cytosol
allB	b0512	539147	540508	allantoinase	allB // glxB3 // ybbX // b0512 // ECK0505	allantoinase	cytosol
allC	b0516	544057	545292	allantoate amidohydrolase	allC // glxB7 // ylbB // b0516 // ECK0509	allantoate amidohydrolase	cytosol
allD	b0517	545314	546363	ureidoglycolate dehydrogenase	allD // glxB8 // ylbC // b0517 // ECK0510	ureidoglycolate dehydrogenase	cytosol
allE	b0515	543261	544046	(S)-ureidoglycine aminohydrolase	allE // glxB6 // ylbA // ughY // b0515 // ECK0508		cytosol
allR	b0506	533011	533826	DNA-binding transcriptional repressor AllR	allR // glxA3 // ybbU // b0506 // ECK0499	AllR-allantoin // AllR-glyoxylate	cytosol
allS	b0504	531295	532221	DNA-binding transcriptional activator AllS	allS // ybbS // glxA1 // b0504 // ECK0497	AllS-allantoin DNA-binding transcriptional activator	cytosol
alpA	b2624	2758644	2758856	CP4-57 prophage; DNA-binding transcriptional activator AlpA	alpA // b2624 // ECK2620		cytosol
alr	b4053	4265782	4266861	alanine racemase 1	alr // alr5 // b4053 // ECK4045	alanine racemase 1	cytosol
alsA	b4087	4309448	4310980	D-allose ABC transporter ATP binding subunit	alsA // yjcW // b4087 // ECK4080	D-allose ABC transporter ATP binding subunit // D-allose ABC transporter membrane subunit // D-allose ABC transporter periplasmic binding protein	inner membrane // cytosol
alsB	b4088	4311107	4312042	D-allose ABC transporter periplasmic binding protein	alsB // yjcX // b4088 // ECK4081	D-allose ABC transporter ATP binding subunit // D-allose ABC transporter membrane subunit // D-allose ABC transporter periplasmic binding protein	inner membrane // periplasmic space
alsC	b4086	4308489	4309469	D-allose ABC transporter membrane subunit	alsC // yjcV // b4086 // ECK4079	D-allose ABC transporter ATP binding subunit // D-allose ABC transporter membrane subunit // D-allose ABC transporter periplasmic binding protein	inner membrane
alsE	b4085	4307783	4308478	D-allulose-6-phosphate 3-epimerase	alsE // yjcU // b4085 // ECK4078		cytosol
alsK	b4084	4306870	4307799	D-allose kinase	alsK // yjcT // b4084 // ECK4077		cytosol
alsR	b4089	4312101	4312991	DNA-binding transcriptional repressor AlsR	alsR // yjcY // rpiR // b4089 // ECK4082	AlsR-D-allose	cytosol
alx	b3088	3238580	3239545	putative membrane-bound redox modulator Alx	alx // ygjT // b3088 // ECK3079		inner membrane
amiA	b2435	2552352	2553221	<i>N</i>-acetylmuramoyl-L-alanine amidase A	amiA // yfeE // b2435 // ECK2430		periplasmic space
amiB	b4169	4396065	4397402	<i>N</i>-acetylmuramoyl-L-alanine amidase B	amiB // yjeD // b4169 // ECK4165		periplasmic space
amiC	b2817	2947757	2949010	<i>N</i>-acetylmuramoyl-L-alanine amidase C	amiC // ygdN // b2817 // ECK2813		periplasmic space
amiD	b0867	904913	905743	<i>N</i>-acetylmuramoyl-L-alanine amidase D	amiD // ybjR // b0867 // ECK0858		outer membrane
amn	b1982	2055061	2056515	AMP nucleosidase	amn // b1982 // ECK1977	AMP nucleosidase	cytosol
ampC	b4150	4377811	4378944	&beta;-lactamase	ampC // ampA // b4150 // ECK4146		periplasmic space
ampD	b0110	118733	119284	1,6-anhydro-<i>N</i>-acetylmuramoyl-L-alanine amidase	ampD // b0110 // ECK0109		cytosol
ampE	b0111	119281	120135	protein AmpE	ampE // b0111 // ECK0110		inner membrane
ampG	b0433	452070	453545	muropeptide:H<sup>+</sup> symporter	ampG // b0433 // ECK0427		inner membrane
ampH	b0376	395130	396287	peptidoglycan DD-carboxypeptidase/peptidoglycan DD-endopeptidase	ampH // yaiH // b0376 // ECK0371		inner membrane // periplasmic space
amtB	b0451	472966	474252	ammonium transporter	amtB // ybaG // b0451 // ECK0445	ammonium transporter	inner membrane
amyA	b1927	2006156	2007643	alpha-amylase	amyA // yedC // b1927 // ECK1926		cytosol
anmK	b1640	1718493	1719602	anhydro-<i>N</i>-acetylmuramic acid kinase	anmK // ydhH // b1640 // ECK1636		inner membrane
ansA	b1767	1850860	1851876	L-asparaginase 1	ansA // b1767 // ECK1765	L-asparaginase 1	cytosol
ansB	b2957	3099682	3100728	L-asparaginase 2	ansB // b2957 // ECK2952	L-asparaginase 2	periplasmic space
ansP	b1453	1524481	1525980	L-asparagine transporter	ansP // yncF // b1453 // ECK1447		inner membrane
apaG	b0050	51229	51606	DUF525 domain-containing protein ApaG	apaG // b0050 // ECK0051		periplasmic space
apaH	b0049	50380	51222	diadenosine tetraphosphatase	apaH // cfcB // b0049 // ECK0050		cytosol
aphA	b4055	4269414	4270127	acid phosphatase / phosphotransferase	aphA // yjbP // hobH // b4055 // ECK4047	acid phosphatase / phosphotransferase	periplasmic space
appA	b0980	1040617	1041915	periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase	appA // b0980 // ECK0971	periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase	periplasmic space
appB	b0979	1039296	1040432	cytochrome <i>bd</i>-II subunit 2	appB // cbdB // cyxB // b0979 // ECK0970	cytochrome <i>bd</i>-II ubiquinol:oxygen oxidoreductase	inner membrane
appC	b0978	1037740	1039284	cytochrome <i>bd</i>-II subunit 1	appC // cbdA // cyxA // b0978 // ECK0969	cytochrome <i>bd</i>-II ubiquinol:oxygen oxidoreductase	inner membrane
appX	b4592	1040445	1040537	cytochrome <i>bd</i>-II accessory subunit AppX	appX // yccB // cbdX // b4592 // ECK4402	cytochrome <i>bd</i>-II ubiquinol:oxygen oxidoreductase	inner membrane // outer membrane
appY	b0564	583681	584430	DLP12 prophage; DNA-binding transcriptional activator AppY	appY // b0564 // ECK0556		cytosol
apt	b0469	491412	491963	adenine phosphoribosyltransferase	apt // b0469 // ECK0463	adenine phosphoribosyltransferase	cytosol
aqpZ	b0875	915352	916047	water channel AqpZ	aqpZ // bniP // b0875 // ECK0866	water channel AqpZ	inner membrane
araA	b0062	66835	68337	L-arabinose isomerase	araA // b0062 // ECK0063	L-arabinose isomerase	cytosol
araB	b0063	68348	70048	ribulokinase	araB // b0063 // ECK0064	ribulokinase	cytosol
araC	b0064	70387	71265	DNA-binding transcriptional dual regulator AraC	araC // b0064 // ECK0065	DNA-binding transcriptional dual regulator AraC	cytosol
araD	b0061	65855	66550	L-ribulose-5-phosphate 4-epimerase AraD	araD // b0061 // ECK0062	L-ribulose-5-phosphate 4-epimerase AraD	cytosol
araE	b2841	2980764	2982182	arabinose:H<sup>+</sup> symporter	araE // b2841 // ECK2839		inner membrane
araF	b1901	1985139	1986128	arabinose ABC transporter periplasmic binding protein	araF // b1901 // ECK1899	arabinose ABC transporter	inner membrane // periplasmic space
araG	b1900	1983555	1985069	arabinose ABC transporter ATP binding subunit	araG // b1900 // ECK1898	arabinose ABC transporter	inner membrane // cytosol
araH	b4460	1982554	1983540	arabinose ABC transporter membrane subunit	araH // b1898 // b1899 // b4460 // ECK1897	arabinose ABC transporter	inner membrane
araJ	b0396	411297	412481	putative transport protein AraJ	araJ // araT // b0396 // ECK0390		inner membrane
arcA	b4401	4639590	4640306	DNA-binding transcriptional dual regulator ArcA-phosphorylated // DNA-binding transcriptional dual regulator ArcA	arcA // sfrA // cpxC // dye // fexA // msp // seg // b4401 // ECK4393		cytosol
arcB	b3210	3350689	3353025	ArcB-<i>N</i>-phospho-L-histidine-292 // ArcB-phospho-L-aspartate-576 // ArcB-<i>N</i>-phospho-L-histidine-717 // sensor histidine kinase ArcB	arcB // b3210 // ECK3200	sensor histidine kinase ArcB	inner membrane // cytosol
arcZ	b4450	3350577	3350697	small regulatory RNA ArcZ	arcZ // psrA16 // sraH // ryhA // b4450 // ECK3199		
arfA	b4550	3438431	3438649	alternative ribosome-rescue factor A	arfA // yhdL // b4550 // ECK3278		
arfB	b0191	214833	215255	peptidyl-tRNA hydrolase, ribosome rescue factor	arfB // yaeJ // b0191 // ECK0191		cytosol
argA	b2818	2949242	2950573	N-acetylglutamate synthase	argA // Arg2 // Arg1 // b2818 // ECK2814	N-acetylglutamate synthase	cytosol
argB	b3959	4156013	4156789	acetylglutamate kinase	argB // b3959 // ECK3950	acetylglutamate kinase	cytosol
argC	b3958	4155001	4156005	N-acetylglutamylphosphate reductase	argC // Arg2 // b3958 // ECK3949		cytosol
argD	b3359	3488960	3490180	<i>N</i>-acetylornithine aminotransferase / <i>N</i>-succinyldiaminopimelate aminotransferase	argD // Arg1 // dapC // dtu // b3359 // ECK3347	<i>N</i>-acetylornithine aminotransferase / <i>N</i>-succinyldiaminopimelate aminotransferase	cytosol
argE	b3957	4153696	4154847	acetylornithine deacetylase	argE // b3957 // ECK3948	acetylornithine deacetylase	cytosol
argF	b0273	289301	290305	CP4-6 prophage; ornithine carbamoyltransferase ArgF	argF // b0273 // ECK0274	ornithine carbamoyltransferase	cytosol
argG	b3172	3318637	3319980	argininosuccinate synthetase	argG // b3172 // ECK3161	argininosuccinate synthetase	cytosol
argH	b3960	4156850	4158223	argininosuccinate lyase	argH // b3960 // ECK3951		cytosol
argI	b4254	4477307	4478311	ornithine carbamoyltransferase ArgI	argI // b4254 // ECK4247	ornithine carbamoyltransferase	cytosol
argK	b2918	3062987	3063982	methylmalonyl-CoA mutase-interacting GTPase YgfD	argK // ygfD // b2918 // ECK2914		cytosol // inner membrane
argL	b4766	290275	290370	putative translational regulatory protein ArgL	argL // b4766 // ECK4623		
argO	b2923	3068173	3068808	L-arginine exporter	argO // yggA // b2923 // ECK2919		inner membrane
argP	b2916	3059753	3060646	DNA-binding transcriptional dual regulator ArgP	argP // iciA // b2916 // ECK2912	DNA-binding transcriptional dual regulator ArgP	cytosol
argQ	b2691	2817784	2817860	tRNA-Arg(ACG)	argQ // argVdelta // b2691 // ECK2686		cytosol
argR	b3237	3384703	3385173	DNA-binding transcriptional dual regulator ArgR	argR // Rarg // xerA // b3237 // ECK3226	DNA-binding transcriptional dual regulator ArgR	cytosol
argS	b1876	1960062	1961795	arginine&mdash;tRNA ligase	argS // lov // lov-1 // b1876 // ECK1877		cytosol
argT	b2310	2427009	2427791	lysine/arginine/ornithine ABC transporter periplasmic binding protein	argT // b2310 // ECK2304	lysine / arginine / ornithine ABC transporter	inner membrane // periplasmic space
argU	b0536	564723	564799	tRNA-Arg(UCU)	argU // dnaY // pin // b0536 // ECK0529		cytosol
argV	b2694	2818473	2818549	tRNA-Arg(ACG)	argV // argValpha // b2694 // ECK2689		cytosol
argW	b2348	2466309	2466383	tRNA-Arg(CCU)	argW // b2348 // ECK2342		cytosol
argX	b3796	3982375	3982451	tRNA-Arg(CCG)	argX // b3796 // ECK3789		cytosol
argY	b2693	2818198	2818274	tRNA-Arg(ACG)	argY // argVbeta // b2693 // ECK2688		cytosol
argZ	b2692	2818059	2818135	tRNA-Arg(ACG)	argZ // argVgamma // b2692 // ECK2687		cytosol
ariR	b1166	1216369	1216635	putative two-component system connector protein AriR	ariR // ymgB // b1166 // ECK1153	putative two-component system connector protein AriR	cytosol
arnA	b2255	2368039	2370021	fused UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronate dehydrogenase	arnA // SAF // yfbG // pmrI // b2255 // ECK2248	UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronate dehydrogenase	cytosol
arnB	b2253	2365910	2367067	UDP-4-amino-4-deoxy-L-arabinose aminotransferase	arnB // pmrH // yfbE // b2253 // ECK2246		cytosol
arnC	b2254	2367071	2368039	undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase	arnC // pmrF // yfbF // b2254 // ECK2247		inner membrane
arnD	b2256	2370018	2370908	putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD	arnD // pmrJ // yfbH // b2256 // ECK2249		cytosol
arnE	b4544	2372557	2372892	undecaprenyl-phosphate-&alpha;-L-Ara4N flippase - ArnE subunit	arnE // yfbW // b4544 // ECK2251	undecaprenyl-phosphate-alpha-L-Ara4N flippase - ArnE subunit // undecaprenyl-phosphate-alpha-L-Ara4N flippase - ArnF subunit	inner membrane
arnF	b2258	2372892	2373278	undecaprenyl-phosphate-&alpha;-L-Ara4N flippase - ArnF subunit	arnF // yfbJ // b2258 // ECK2252	undecaprenyl-phosphate-alpha-L-Ara4N flippase - ArnE subunit // undecaprenyl-phosphate-alpha-L-Ara4N flippase - ArnF subunit	inner membrane
arnT	b2257	2370908	2372560	lipid IVA 4-amino-4-deoxy-L-arabinosyltransferase	arnT // yfbI // pmrK // b2257 // ECK2250		inner membrane
aroA	b0908	958812	960095	3-phosphoshikimate 1-carboxyvinyltransferase	aroA // b0908 // ECK0899		cytosol
aroB	b3389	3517398	3518486	3-dehydroquinate synthase	aroB // b3389 // ECK3376		cytosol
aroC	b2329	2446388	2447473	chorismate synthase	aroC // b2329 // ECK2323	chorismate synthase	cytosol
aroD	b1693	1774686	1775444	3-dehydroquinate dehydratase	aroD // b1693 // ECK1691	3-dehydroquinate dehydratase	cytosol
aroE	b3281	3430020	3430838	shikimate dehydrogenase	aroE // b3281 // ECK3268		cytosol
aroF	b2601	2740080	2741150	3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive	aroF // b2601 // ECK2598	3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive	cytosol
aroG	b0754	785633	786685	3-deoxy-7-phosphoheptulonate synthase, Phe-sensitive	aroG // b0754 // ECK0743	3-deoxy-7-phosphoheptulonate synthase, Phe-sensitive	cytosol
aroH	b1704	1788435	1789481	3-deoxy-7-phosphoheptulonate synthase, Trp-sensitive	aroH // b1704 // ECK1702	3-deoxy-7-phosphoheptulonate synthase, Trp-sensitive	cytosol
aroK	b3390	3518543	3519064	shikimate kinase 1	aroK // b3390 // ECK3377		cytosol
aroL	b0388	406405	406929	shikimate kinase 2	aroL // b0388 // ECK0383		cytosol
aroM	b0390	407428	408105	protein AroM	aroM // b0390 // ECK0385		cytosol
aroP	b0112	120178	121551	aromatic amino acid:H<sup>+</sup> symporter AroP	aroP // aroR // b0112 // ECK0111		inner membrane
arpA	b4017	4220301	4222487	regulator of acetyl CoA synthetase	arpA // arp // yjaC // b4017 // ECK4009		cytosol
